CountyName,CountyValue
Alachua,alachua
Baker,baker
Bay,bay
Bradford,bradford
Brevard,brevard
Broward,broward
Calhoun,calhoun
Charlotte,charlotte
Citrus,citrus
Clay,clay
Collier,collier
Columbia,columbia
Dade,dade
Desoto,desoto
Dixie,dixie
Duval,duval
Escambia,escambia
Flagler,flagler
Franklin,franklin
Gadsden,gadsden
Gilchrist,gilchrist
Glades,glades
Gulf,gulf
Hamilton,hamilton
Hardee,hardee
Hendry,hendry
Hernando,hernando
Highlands,highlands
Hillsborough,hillsborough
Holmes,holmes
Indian River,indian-river
Jackson,jackson
Jefferson,jefferson
Lafayette,lafayette
Lake,lake
Lee,lee
Leon,leon
Levy,levy
Liberty,liberty
Madison,madison
Manatee,manatee
Marion,marion
Martin,martin
Monroe,monroe
Nassau,nassau
Okaloosa,okaloosa
Okeechobee,okeechobee
Orange,orange
Osceola,osceola
Palm Beach,palm-beach
Pasco,pasco
Pinellas,pinellas
Polk,polk
Putnam,putnam
St. Johns,st-johns
St. Lucie,st-lucie
Santa Rosa,santa-rosa
Sarasota,sarasota
Seminole,seminole
Sumter,sumter
Suwannee,suwannee
Taylor,taylor
Union,union
Volusia,volusia
Wakulla,wakulla
Walton,walton
