Name,Date,Violation,Address,CountyName,CountyValue
CLASSIC CAFE 3,"March 15, 2019",Call Back - Admin. complaint recommended,"CLASSIC CAFE 3 17500 Ne Hwy 301, Waldo (Alachua county), FL, 32694",Alachua,alachua
KENTUCKY FRIED CHICKEN,"March 15, 2019",Warning Issued,"KENTUCKY FRIED CHICKEN 3750 Nw 13 St, Gainesville (Alachua county), FL, 32609",Alachua,alachua
SUBWAY #43960,"March 13, 2019",Warning Issued,"SUBWAY #43960 17457 Ne Hwy 301, Waldo (Alachua county), FL, 32694",Alachua,alachua
CLASSIC CAFE 3,"March 13, 2019",Call Back - Admin. complaint recommended,"CLASSIC CAFE 3 17500 Ne Hwy 301, Waldo (Alachua county), FL, 32694",Alachua,alachua
J - PETAL & POKE,"March 13, 2019",Warning Issued,"J - PETAL & POKE 3411 Sw Archer Rd Unit A, Gainesville (Alachua county), FL, 32608",Alachua,alachua
NOLA'S CAJUN PO'BOY & SEAFOOD,"March 11, 2019",Emergency order recommended,"NOLA'S CAJUN PO'BOY & SEAFOOD 3200 Nw 98 St, Gainesville (Alachua county), FL, 32606",Alachua,alachua
CLASSIC CAFE 3,"March 11, 2019",Warning Issued,"CLASSIC CAFE 3 17500 Ne Hwy 301, Waldo (Alachua county), FL, 32694",Alachua,alachua
CICI'S PIZZA #388,"March 7, 2019",Warning Issued,"CICI'S PIZZA #388 3246 Sw 35 Blvd, Gainesville (Alachua county), FL, 32608",Alachua,alachua
GAINESVILLE GOLF & COUNTRY CLUB INC,"March 6, 2019",Warning Issued,"GAINESVILLE GOLF & COUNTRY CLUB INC 7300 Sw 35 Way, Gainesville (Alachua county), FL, 32608",Alachua,alachua
COUNTRY FOODLY,"March 6, 2019",Warning Issued,"COUNTRY FOODLY 5240 Nw 34 Blvd Ste D, Gainesville (Alachua county), FL, 32605",Alachua,alachua
BALLYHOO GRILL,"March 5, 2019",Warning Issued,"BALLYHOO GRILL 3700 W Newberry Rd, Gainesville (Alachua county), FL, 32607",Alachua,alachua
GREAT SOUTHERN BISCUIT COMPANY,"March 5, 2019",Call Back - Admin. complaint recommended,"GREAT SOUTHERN BISCUIT COMPANY 23352 W Us Hwy 27 Ste 50, High Springs (Alachua county), FL, 32643",Alachua,alachua
WAFFLE HOUSE #541,"March 4, 2019",Warning Issued,"WAFFLE HOUSE #541 3919 Sw 40 Blvd, Gainesville (Alachua county), FL, 32608",Alachua,alachua
OUTBACK STEAKHOUSE,"March 1, 2019",Warning Issued,"OUTBACK STEAKHOUSE 3760 Sw Archer Rd, Gainesville (Alachua county), FL, 32608",Alachua,alachua
DUNKIN DONUTS/BASKIN ROBBINS,"Feb. 28, 2019",Call Back - Admin. complaint recommended,"DUNKIN DONUTS/BASKIN ROBBINS 3710 Nw 13 St, Gainesville (Alachua county), FL, 32609",Alachua,alachua
THE RED ONION NEIGHBORHOOD GRILL,"Feb. 26, 2019",Warning Issued,"RED ONION NEIGHBORHOOD GRILL 3885 Nw 24 Blvd Ste A, Gainesville (Alachua county), FL, 32605",Alachua,alachua
PJ'S CAFE & CATERING,"Feb. 26, 2019",Call Back - Admin. complaint recommended,"PJ'S CAFE & CATERING 6005 Se Hwy 301 Ste 404, Hawthorne (Alachua county), FL, 32640",Alachua,alachua
BJ'S RESTAURANT & BREWHOUSE #486,"Feb. 25, 2019",Warning Issued,"BJ'S RESTAURANT & BREWHOUSE #486 6611 W Newberry Rd, Gainesville (Alachua county), FL, 32605",Alachua,alachua
MAPLE STREET BISCUIT COMPANY,"Feb. 25, 2019",Warning Issued,"MAPLE STREET BISCUIT COMPANY 3904 Sw Archer Rd, Gainesville (Alachua county), FL, 32608",Alachua,alachua
PJ'S CAFE & CATERING,"Feb. 21, 2019",Warning Issued,"PJ'S CAFE & CATERING 6005 Se Hwy 301 Ste 404, Hawthorne (Alachua county), FL, 32640",Alachua,alachua
GREAT SOUTHERN BISCUIT COMPANY,"Feb. 20, 2019",Warning Issued,"GREAT SOUTHERN BISCUIT COMPANY 23352 W Us Hwy 27 Ste 50, High Springs (Alachua county), FL, 32643",Alachua,alachua
JUDY'S PIZZA,"Feb. 20, 2019",Call Back - Admin. complaint recommended,"JUDY'S PIZZA 6005 Se Hwy 301, Hawthorne (Alachua county), FL, 32640",Alachua,alachua
CALENDARS DELI,"March 12, 2019",Call Back - Admin. complaint recommended,"CALENDARS DELI 38 E Macclenny Ave, Macclenny (Baker county), FL, 32063",Baker,baker
THE COOP,"March 12, 2019",Warning Issued,"COOP 457 W Macclenny Ave, Macclenny (Baker county), FL, 32063",Baker,baker
CALENDARS DELI,"March 7, 2019",Call Back - Admin. complaint recommended,"CALENDARS DELI 38 E Macclenny Ave, Macclenny (Baker county), FL, 32063",Baker,baker
CALENDARS DELI,"March 6, 2019",Call Back - Admin. complaint recommended,"CALENDARS DELI 38 E Macclenny Ave, Macclenny (Baker county), FL, 32063",Baker,baker
CALENDARS DELI,"Feb. 28, 2019",Call Back - Admin. complaint recommended,"CALENDARS DELI 38 E Macclenny Ave, Macclenny (Baker county), FL, 32063",Baker,baker
BREAK-AWAY CAFE,"Feb. 28, 2019",Call Back - Admin. complaint recommended,"BREAK-AWAY CAFE 2686 Commerce Rd, Macclenny (Baker county), FL, 32063",Baker,baker
FRASERS CORNER CAFE,"Feb. 26, 2019",Warning Issued,"FRASERS CORNER CAFE 7163 E Mt Vernon St, Glen St Mary (Baker county), FL, 32040",Baker,baker
BOOTSIE'S BAR,"Feb. 26, 2019",Warning Issued,"BOOTSIE'S BAR 1660 S 6 St, Macclenny (Baker county), FL, 32063",Baker,baker
FINS JAPANESE SUSHI & GRILL,"March 16, 2019",Warning Issued,"FINS JAPANESE SUSHI & GRILL 732 W 23 St, Panama City (Bay county), FL, 32405",Bay,bay
CHINA ONE,"March 16, 2019",Warning Issued,"CHINA ONE 674 W 23rd Street, Panama City (Bay county), FL, 32405",Bay,bay
WINE KNOT,"March 15, 2019",Warning Issued,"WINE KNOT 2401 Ruth Hentz Ave, Panama City (Bay county), FL, 32405",Bay,bay
SALVATORE'S PIZZA,"March 14, 2019",Call Back - Admin. complaint recommended,"SALVATORE'S PIZZA 14658 Front Beach Rd, Panama City Beach (Bay county), FL, 32413",Bay,bay
WALKER SUBWAY 5326,"March 14, 2019",Call Back - Admin. complaint recommended,"WALKER SUBWAY 5326 7438 N Hwy 77, Panama City (Bay county), FL, 32409",Bay,bay
SUBWAY #17185,"March 14, 2019",Warning Issued,"SUBWAY #17185 2521 Thomas Dr, Panama City Bch (Bay county), FL, 324086252",Bay,bay
PATCHES PUB AND GRILL,"March 14, 2019",Warning Issued,"PATCHES PUB AND GRILL 4723 Thomas Dr, Panama City Beach (Bay county), FL, 32408",Bay,bay
BEACH TREATS,"March 14, 2019",Warning Issued,"BEACH TREATS 2521 Thomas Dr, Panama City Beach (Bay county), FL, 32408",Bay,bay
FINNS ISLAND STYLE GRUB,"March 14, 2019",Warning Issued,"FINNS ISLAND STYLE GRUB 11115 Hutchinson Blvd, Panama City Beach (Bay county), FL, 32407",Bay,bay
PHO EXPRESS VIETNAMESE BISTRO,"March 13, 2019",Warning Issued,"PHO EXPRESS VIETNAMESE BISTRO 8776 Thomas Dr #5, Panama City Beach (Bay county), FL, 32408",Bay,bay
